id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
358,... >= 200 DM / salary for at least 1 year,10,all credits at this bank paid back duly,others,1231,unknown/no savings account,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,unknown / no property,32,none,rent,2-3,unskilled - resident,3 or more,no,yes,good
359,0<= ... < 200 DM,18,no credits taken/all credits paid back duly,others,1961,unknown/no savings account,>= 7 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,good
360,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,others,5045,... >= 1000 DM,>= 7 yrs,>= 35,none,>= 7 yrs,building soc. savings agr./life insurance,59,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
361,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,others,1255,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,unknown / no property,61,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
362,no checking account,12,no credits taken/all credits paid back duly,car (used),1858,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,building soc. savings agr./life insurance,22,none,for free,1,skilled employee/official,0 to 2,no,no,good
363,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,car (used),1221,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,none,1 <= ... < 4 yrs,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
364,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),1388,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,26,none,for free,1,skilled employee/official,0 to 2,no,no,good
365,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,2279,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,real estate,37,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,good
366,... >= 200 DM / salary for at least 1 year,12,delay in paying off in the past,car (used),2759,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,car or other,34,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
367,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,furniture/equipment,1258,100 <= ... <  500 DM,1 <= ... < 4 yrs,20 <= ... < 25,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,57,none,rent,1,unskilled - resident,0 to 2,no,no,good
368,... < 0 DM,12,delay in paying off in the past,vacation,1410,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,31,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,good
369,no checking account,15,no credits taken/all credits paid back duly,others,1403,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,skilled employee/official,0 to 2,no,no,good
370,no checking account,24,no credits taken/all credits paid back duly,car (used),3021,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,24,none,for free,1,unskilled - resident,0 to 2,no,no,good
371,no checking account,24,no credits taken/all credits paid back duly,retraining,6568,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,21,stores,rent,1,unskilled - resident,0 to 2,no,no,good
372,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,2578,500 <= ... < 1000 DM,>= 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,no,no,good
373,... < 0 DM,24,all credits at this bank paid back duly,car (new),7758,500 <= ... < 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,real estate,29,none,for free,1,skilled employee/official,0 to 2,no,no,good
374,no checking account,6,no credits taken/all credits paid back duly,radio/television,343,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
375,... >= 200 DM / salary for at least 1 year,21,existing credits paid back duly till now,car (used),1591,... <  100 DM,4 <= ... < 7 yrs,< 20,none,4 <= ... < 7 yrs,unknown / no property,34,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,good
376,no checking account,27,no credits taken/all credits paid back duly,furniture/equipment,3416,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,27,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,good
377,no checking account,12,delay in paying off in the past,domestic appliances,1108,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,4 <= ... < 7 yrs,unknown / no property,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
378,... < 0 DM,27,existing credits paid back duly till now,car (new),5965,unknown/no savings account,>= 7 yrs,>= 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
379,... < 0 DM,15,no credits taken/all credits paid back duly,domestic appliances,1514,... <  100 DM,1 <= ... < 4 yrs,< 20,guarantor,1 <= ... < 4 yrs,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,good
380,... >= 200 DM / salary for at least 1 year,30,all credits at this bank paid back duly,furniture/equipment,6742,... >= 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,4 <= ... < 7 yrs,car or other,36,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
381,no checking account,18,no credits taken/all credits paid back duly,car (used),3650,unknown/no savings account,< 1 yr,>= 35,none,>= 7 yrs,building soc. savings agr./life insurance,22,none,for free,1,skilled employee/official,0 to 2,no,no,good
382,no checking account,21,no credits taken/all credits paid back duly,car (used),3599,unknown/no savings account,4 <= ... < 7 yrs,>= 35,none,>= 7 yrs,building soc. savings agr./life insurance,26,none,for free,1,unskilled - resident,0 to 2,no,no,good
383,... >= 200 DM / salary for at least 1 year,60,all credits at this bank paid back duly,others,13756,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,real estate,63,bank,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
384,... < 0 DM,9,no credits taken/all credits paid back duly,others,276,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,22,none,for free,1,unskilled - resident,0 to 2,no,no,good
385,... >= 200 DM / salary for at least 1 year,42,all credits at this bank paid back duly,car (used),4041,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,36,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
386,... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,458,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,4 <= ... < 7 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
387,... < 0 DM,9,no credits taken/all credits paid back duly,car (used),918,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,< 1 yr,car or other,30,none,rent,1,skilled employee/official,0 to 2,no,no,bad
388,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,others,7393,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,car or other,43,none,rent,1,unskilled - resident,3 or more,no,no,good
389,0<= ... < 200 DM,10,no credits taken/all credits paid back duly,radio/television,1225,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
390,no checking account,24,no credits taken/all credits paid back duly,car (new),2812,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,unknown / no property,26,none,for free,1,skilled employee/official,0 to 2,no,no,good
391,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (new),3029,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,no,good
392,0<= ... < 200 DM,12,all credits at this bank paid back duly,others,1480,100 <= ... <  500 DM,unemployed,25 <= ... < 35,none,>= 7 yrs,real estate,66,bank,own,4-5,unemployed/unskilled - non-resident,0 to 2,no,no,good
393,0<= ... < 200 DM,6,all credits at this bank paid back duly,repairs,1047,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,car or other,50,none,rent,1,unskilled - resident,0 to 2,no,no,good
394,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,furniture/equipment,1471,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,real estate,35,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
395,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (used),5511,... <  100 DM,1 <= ... < 4 yrs,< 20,none,< 1 yr,building soc. savings agr./life insurance,25,stores,rent,1,skilled employee/official,0 to 2,no,no,good
396,... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,1206,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
397,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,6403,unknown/no savings account,< 1 yr,>= 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,no,good
398,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,707,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,30,bank,rent,2-3,skilled employee/official,0 to 2,no,no,good
399,... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,car (new),1503,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,41,none,for free,1,skilled employee/official,0 to 2,no,no,good
400,... < 0 DM,12,no credits taken/all credits paid back duly,others,6078,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,32,none,rent,1,skilled employee/official,0 to 2,no,no,good
401,... < 0 DM,27,no credits taken/all credits paid back duly,retraining,2528,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,car or other,32,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,good
402,... < 0 DM,12,no credits taken/all credits paid back duly,retraining,1037,... <  100 DM,4 <= ... < 7 yrs,20 <= ... < 25,none,>= 7 yrs,unknown / no property,39,none,rent,1,unskilled - resident,0 to 2,no,no,good
403,no checking account,6,no credits taken/all credits paid back duly,car (new),1352,100 <= ... <  500 DM,unemployed,>= 35,none,1 <= ... < 4 yrs,car or other,23,none,for free,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,good
404,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,3181,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
405,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,furniture/equipment,4594,unknown/no savings account,< 1 yr,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,32,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
406,... < 0 DM,48,no credits taken/all credits paid back duly,business,5381,... >= 1000 DM,unemployed,20 <= ... < 25,none,>= 7 yrs,real estate,40,bank,own,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,good
407,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (new),4657,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
408,... < 0 DM,9,no credits taken/all credits paid back duly,retraining,1391,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,< 1 yr,unknown / no property,27,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
409,... < 0 DM,18,no credits taken/all credits paid back duly,retraining,1913,500 <= ... < 1000 DM,< 1 yr,20 <= ... < 25,none,4 <= ... < 7 yrs,unknown / no property,36,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
410,... >= 200 DM / salary for at least 1 year,42,no credits taken/all credits paid back duly,furniture/equipment,7166,... >= 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,>= 7 yrs,car or other,29,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,good
411,... >= 200 DM / salary for at least 1 year,13,no credits taken/all credits paid back duly,furniture/equipment,1409,... <  100 DM,unemployed,25 <= ... < 35,none,>= 7 yrs,unknown / no property,64,none,rent,1,skilled employee/official,0 to 2,no,no,good
412,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,retraining,2978,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,32,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
413,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,976,... >= 1000 DM,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
414,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,retraining,2375,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,44,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
415,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,522,100 <= ... <  500 DM,>= 7 yrs,< 20,none,>= 7 yrs,car or other,42,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
416,... >= 200 DM / salary for at least 1 year,28,all credits at this bank paid back duly,furniture/equipment,2743,unknown/no savings account,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
417,... >= 200 DM / salary for at least 1 year,11,all credits at this bank paid back duly,furniture/equipment,1154,... <  100 DM,unemployed,< 20,none,>= 7 yrs,unknown / no property,57,none,rent,4-5,unskilled - resident,0 to 2,no,no,good
418,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),5804,500 <= ... < 1000 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
419,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,1169,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,4 <= ... < 7 yrs,car or other,29,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
420,no checking account,15,all credits at this bank paid back duly,car (used),1478,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,44,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
